,date,location,location_name,value
511,2020-03-23,GM01,Baden-Württemberg State,3769
512,2020-03-23,GM02,Free State of Bavaria,4873
513,2020-03-23,GM03,Free Hanseatic City of Bremen,163
514,2020-03-23,GM04,Free Hanseatic City of Hamburg,971
515,2020-03-23,GM05,Hesse State,1338
516,2020-03-23,GM06,Lower Saxony State,1544
517,2020-03-23,GM07,North Rhine-Westphalia State,5611
518,2020-03-23,GM08,Rhineland-Palatinate State,1177
519,2020-03-23,GM09,Saarland State,213
520,2020-03-23,GM10,Schleswig-Holstein State,380
521,2020-03-23,GM11,Brandenburg State,279
522,2020-03-23,GM12,Mecklenburg-Western Pomerania State,173
523,2020-03-23,GM13,Free State of Saxony,649
524,2020-03-23,GM14,Sachsen-Anhalt State,228
525,2020-03-23,GM15,Free State of Thuringia,249
526,2020-03-23,GM16,Berlin State,1072
527,2020-03-24,GM,Germany,27394
528,2020-03-24,GM01,Baden-Württemberg State,5289
529,2020-03-24,GM02,Free State of Bavaria,5735
530,2020-03-24,GM03,Free Hanseatic City of Bremen,176
531,2020-03-24,GM04,Free Hanseatic City of Hamburg,1075
532,2020-03-24,GM05,Hesse State,1610
533,2020-03-24,GM06,Lower Saxony State,1825
534,2020-03-24,GM07,North Rhine-Westphalia State,6313
535,2020-03-24,GM08,Rhineland-Palatinate State,1370
536,2020-03-24,GM09,Saarland State,347
537,2020-03-24,GM10,Schleswig-Holstein State,474
538,2020-03-24,GM11,Brandenburg State,333
539,2020-03-24,GM12,Mecklenburg-Western Pomerania State,200
540,2020-03-24,GM13,Free State of Saxony,807
541,2020-03-24,GM14,Sachsen-Anhalt State,337
542,2020-03-24,GM15,Free State of Thuringia,326
543,2020-03-24,GM16,Berlin State,1215
544,2020-03-25,GM,Germany,31508
545,2020-03-25,GM01,Baden-Württemberg State,6002
546,2020-03-25,GM02,Free State of Bavaria,6538
547,2020-03-25,GM03,Free Hanseatic City of Bremen,193
548,2020-03-25,GM04,Free Hanseatic City of Hamburg,1302
549,2020-03-25,GM05,Hesse State,1744
550,2020-03-25,GM06,Lower Saxony State,2200
551,2020-03-25,GM07,North Rhine-Westphalia State,7192
552,2020-03-25,GM08,Rhineland-Palatinate State,1590
