"target","location","model","inverse_wis_weight"
"cum case","PL75","ITWW-county_repro",0.137006372636939
"cum case","PL75","epiforecasts-EpiNow2",0.529515124856712
"cum case","PL76","USC-SIkJalpha",0.332937756977043
"cum case","PL76","ITWW-county_repro",0.344366639168655
"cum case","PL76","epiforecasts-EpiNow2",0.322695603854303
"cum case","PL77","USC-SIkJalpha",0.145938467007643
"cum case","PL77","ITWW-county_repro",0.168517336043203
"cum case","PL77","epiforecasts-EpiNow2",0.685544196949154
"cum case","PL78","USC-SIkJalpha",0.357163105336505
"cum case","PL78","ITWW-county_repro",0.0881729937642702
"cum case","PL78","epiforecasts-EpiNow2",0.554663900899224
"cum case","PL79","USC-SIkJalpha",0.464726614279524
"cum case","PL79","ITWW-county_repro",0.197056886300325
"cum case","PL79","epiforecasts-EpiNow2",0.338216499420151
"cum case","PL80","USC-SIkJalpha",0.266316170257341
"cum case","PL80","ITWW-county_repro",0.275285641258606
"cum case","PL80","epiforecasts-EpiNow2",0.458398188484054
"cum case","PL81","USC-SIkJalpha",0.432037711774286
"cum case","PL81","ITWW-county_repro",0.278110151607867
"cum case","PL81","epiforecasts-EpiNow2",0.289852136617847
"cum case","PL82","USC-SIkJalpha",0.301379800645762
"cum case","PL82","ITWW-county_repro",0.415820845415013
"cum case","PL82","epiforecasts-EpiNow2",0.282799353939225
"cum case","PL83","USC-SIkJalpha",0.46177062767721
"cum case","PL83","ITWW-county_repro",0.159572874371377
"cum case","PL83","epiforecasts-EpiNow2",0.378656497951412
"cum case","PL84","USC-SIkJalpha",0.371664377851829
"cum case","PL84","ITWW-county_repro",0.26758704313002
"cum case","PL84","epiforecasts-EpiNow2",0.360748579018151
"cum case","PL85","USC-SIkJalpha",0.24621307431645
"cum case","PL85","ITWW-county_repro",0.226810232674173
"cum case","PL85","epiforecasts-EpiNow2",0.526976693009377
"cum case","PL86","USC-SIkJalpha",0.338691348990675
"cum case","PL86","ITWW-county_repro",0.306653159350664
"cum case","PL86","epiforecasts-EpiNow2",0.354655491658661
"cum case","PL87","USC-SIkJalpha",0.458221672150149
"cum case","PL87","ITWW-county_repro",0.189841655810787
"cum case","PL87","epiforecasts-EpiNow2",0.351936672039064
"inc death","PL72","USC-SIkJalpha",0.421987480556618
"inc death","PL72","ITWW-county_repro",0.235401064534371
"inc death","PL72","epiforecasts-EpiNow2",0.34261145490901
"inc death","PL73","USC-SIkJalpha",0.405569604377211
"inc death","PL73","ITWW-county_repro",0.251652772277824
"inc death","PL73","epiforecasts-EpiNow2",0.342777623344965
"inc death","PL74","USC-SIkJalpha",0.423661878474497
"inc death","PL74","ITWW-county_repro",0.28330032387687
"inc death","PL74","epiforecasts-EpiNow2",0.293037797648633
"inc death","PL75","USC-SIkJalpha",0.181148719478172
"inc death","PL75","ITWW-county_repro",0.319162821774704
"inc death","PL75","epiforecasts-EpiNow2",0.499688458747123
"inc death","PL76","USC-SIkJalpha",0.205447933498097
"inc death","PL76","ITWW-county_repro",0.284821726284564
"inc death","PL76","epiforecasts-EpiNow2",0.509730340217339
"inc death","PL77","USC-SIkJalpha",0.54925243849274
"inc death","PL77","ITWW-county_repro",0.251057065294927
"inc death","PL77","epiforecasts-EpiNow2",0.199690496212333
"inc death","PL78","USC-SIkJalpha",0.447511884502623
"inc death","PL78","ITWW-county_repro",0.274990668695578
"inc death","PL78","epiforecasts-EpiNow2",0.2774974468018
"inc death","PL79","USC-SIkJalpha",0.197575533153007
"inc death","PL79","ITWW-county_repro",0.206277046271145
"inc death","PL79","epiforecasts-EpiNow2",0.596147420575849
"inc death","PL80","USC-SIkJalpha",0.132554170306812
"inc death","PL80","ITWW-county_repro",0.192272565493033
"inc death","PL80","epiforecasts-EpiNow2",0.675173264200154
"inc death","PL81","USC-SIkJalpha",0.453720547139869
"inc death","PL81","ITWW-county_repro",0.318237198783877
"inc death","PL81","epiforecasts-EpiNow2",0.228042254076254
"inc death","PL82","USC-SIkJalpha",0.303840319624119
"inc death","PL82","ITWW-county_repro",0.243414337726095
"inc death","PL82","epiforecasts-EpiNow2",0.452745342649786
"inc death","PL83","USC-SIkJalpha",0.368212187373232
"inc death","PL83","ITWW-county_repro",0.427237426324434
"inc death","PL83","epiforecasts-EpiNow2",0.204550386302334
"inc death","PL84","USC-SIkJalpha",0.310332154460729
"inc death","PL84","ITWW-county_repro",0.26179294517153
"inc death","PL84","epiforecasts-EpiNow2",0.427874900367741
"inc death","PL85","USC-SIkJalpha",0.383472809872543
"inc death","PL85","ITWW-county_repro",0.284141233923584
"inc death","PL85","epiforecasts-EpiNow2",0.332385956203873
"inc death","PL86","USC-SIkJalpha",0.357130993128643
"inc death","PL86","ITWW-county_repro",0.149002949605536
"inc death","PL86","epiforecasts-EpiNow2",0.493866057265821
"inc death","PL87","USC-SIkJalpha",0.346876566549084
"inc death","PL87","ITWW-county_repro",0.333023303617901
"inc death","PL87","epiforecasts-EpiNow2",0.320100129833015
"cum death","PL72","USC-SIkJalpha",0.568110562634485
"cum death","PL72","ITWW-county_repro",0.176916077223729
"cum death","PL72","epiforecasts-EpiNow2",0.254973360141785
"cum death","PL73","USC-SIkJalpha",0.33615903151274
"cum death","PL73","ITWW-county_repro",0.235020118484665
"cum death","PL73","epiforecasts-EpiNow2",0.428820850002595
"cum death","PL74","USC-SIkJalpha",0.345502457808859
"cum death","PL74","ITWW-county_repro",0.247016122094668
"cum death","PL74","epiforecasts-EpiNow2",0.407481420096473
"cum death","PL75","USC-SIkJalpha",0.17669593501108
"cum death","PL75","ITWW-county_repro",0.325299830919061
"cum death","PL75","epiforecasts-EpiNow2",0.49800423406986
"cum death","PL76","USC-SIkJalpha",0.176844499074967
"cum death","PL76","ITWW-county_repro",0.232470167099137
"cum death","PL76","epiforecasts-EpiNow2",0.590685333825896
"cum death","PL77","USC-SIkJalpha",0.648364611544836
"cum death","PL77","ITWW-county_repro",0.191304438768318
"cum death","PL77","epiforecasts-EpiNow2",0.160330949686846
"cum death","PL78","USC-SIkJalpha",0.496055521892754
"cum death","PL78","ITWW-county_repro",0.285072120773256
"cum death","PL78","epiforecasts-EpiNow2",0.218872357333989
"cum death","PL79","USC-SIkJalpha",0.317819079474743
"cum death","PL79","ITWW-county_repro",0.215397960962907
"cum death","PL79","epiforecasts-EpiNow2",0.46678295956235
"cum death","PL80","USC-SIkJalpha",0.139483364725453
"cum death","PL80","ITWW-county_repro",0.175361258836305
"cum death","PL80","epiforecasts-EpiNow2",0.685155376438242
"cum death","PL81","USC-SIkJalpha",0.554953930995245
"cum death","PL81","ITWW-county_repro",0.232773674381919
"cum death","PL81","epiforecasts-EpiNow2",0.212272394622835
"cum death","PL82","USC-SIkJalpha",0.346257525493181
"cum death","PL82","ITWW-county_repro",0.195838478189798
"cum death","PL82","epiforecasts-EpiNow2",0.457903996317021
"cum death","PL83","USC-SIkJalpha",0.347913289783724
"cum death","PL83","ITWW-county_repro",0.462459991426464
"cum death","PL83","epiforecasts-EpiNow2",0.189626718789811
