date,location,location_name,age_group,value
2020-03-30,GM01,Baden-Württemberg State,A80+,79
2020-03-30,GM02,Free State of Bavaria,A15-A34,1
2020-03-30,GM02,Free State of Bavaria,A35-A59,7
2020-03-30,GM02,Free State of Bavaria,A60-A79,34
2020-03-30,GM02,Free State of Bavaria,A80+,84
2020-03-30,GM02,Free State of Bavaria,unbekannt,1
2020-03-30,GM03,Free Hanseatic City of Bremen,A35-A59,1
2020-03-30,GM03,Free Hanseatic City of Bremen,A60-A79,1
2020-03-30,GM04,Free Hanseatic City of Hamburg,A35-A59,1
2020-03-30,GM04,Free Hanseatic City of Hamburg,A60-A79,2
2020-03-30,GM04,Free Hanseatic City of Hamburg,A80+,2
2020-03-30,GM05,Hesse State,A35-A59,1
2020-03-30,GM05,Hesse State,A60-A79,4
2020-03-30,GM05,Hesse State,A80+,8
2020-03-30,GM06,Lower Saxony State,A35-A59,1
2020-03-30,GM06,Lower Saxony State,A60-A79,6
2020-03-30,GM06,Lower Saxony State,A80+,19
2020-03-30,GM07,North Rhine-Westphalia State,A35-A59,3
2020-03-30,GM07,North Rhine-Westphalia State,A60-A79,30
