date,location,location_name,age_group,value
2020-03-26,GM09,Saarland State,A15-A34,114
2020-03-26,GM09,Saarland State,A35-A59,221
2020-03-26,GM09,Saarland State,A60-A79,50
2020-03-26,GM09,Saarland State,A80+,11
2020-03-26,GM09,Saarland State,unbekannt,1
2020-03-26,GM10,Schleswig-Holstein State,A00-A04,6
2020-03-26,GM10,Schleswig-Holstein State,A05-A14,11
2020-03-26,GM10,Schleswig-Holstein State,A15-A34,151
2020-03-26,GM10,Schleswig-Holstein State,A35-A59,273
2020-03-26,GM10,Schleswig-Holstein State,A60-A79,102
2020-03-26,GM10,Schleswig-Holstein State,A80+,26
2020-03-26,GM10,Schleswig-Holstein State,unbekannt,8
2020-03-26,GM11,Brandenburg State,A00-A04,1
2020-03-26,GM11,Brandenburg State,A05-A14,5
2020-03-26,GM11,Brandenburg State,A15-A34,88
2020-03-26,GM11,Brandenburg State,A35-A59,239
2020-03-26,GM11,Brandenburg State,A60-A79,91
2020-03-26,GM11,Brandenburg State,A80+,5
2020-03-26,GM12,Mecklenburg-Western Pomerania State,A05-A14,1
2020-03-26,GM12,Mecklenburg-Western Pomerania State,A15-A34,72
2020-03-26,GM12,Mecklenburg-Western Pomerania State,A35-A59,111
2020-03-26,GM12,Mecklenburg-Western Pomerania State,A60-A79,32
2020-03-26,GM12,Mecklenburg-Western Pomerania State,A80+,2
2020-03-26,GM13,Free State of Saxony,A00-A04,11
2020-03-26,GM13,Free State of Saxony,A05-A14,15
2020-03-26,GM13,Free State of Saxony,A15-A34,250
2020-03-26,GM13,Free State of Saxony,A35-A59,486
2020-03-26,GM13,Free State of Saxony,A60-A79,174
2020-03-26,GM13,Free State of Saxony,A80+,23
2020-03-26,GM14,Sachsen-Anhalt State,A05-A14,7
2020-03-26,GM14,Sachsen-Anhalt State,A15-A34,98
2020-03-26,GM14,Sachsen-Anhalt State,A35-A59,185
2020-03-26,GM14,Sachsen-Anhalt State,A60-A79,66
2020-03-26,GM14,Sachsen-Anhalt State,A80+,18
2020-03-26,GM14,Sachsen-Anhalt State,unbekannt,1
2020-03-26,GM15,Free State of Thüringia,A00-A04,2
2020-03-26,GM15,Free State of Thüringia,A05-A14,12
2020-03-26,GM15,Free State of Thüringia,A15-A34,104
2020-03-26,GM15,Free State of Thüringia,A35-A59,207
2020-03-26,GM15,Free State of Thüringia,A60-A79,57
2020-03-26,GM15,Free State of Thüringia,A80+,12
2020-03-26,GM16,Berlin State,A00-A04,15
2020-03-26,GM16,Berlin State,A05-A14,50
2020-03-26,GM16,Berlin State,A15-A34,533
2020-03-26,GM16,Berlin State,A35-A59,662
2020-03-26,GM16,Berlin State,A60-A79,141
2020-03-26,GM16,Berlin State,A80+,21
2020-03-26,GM16,Berlin State,unbekannt,6
2020-03-27,GM,Germany,A00-A04,307
2020-03-27,GM,Germany,A05-A14,846
2020-03-27,GM,Germany,A15-A34,11040
2020-03-27,GM,Germany,A35-A59,21085
2020-03-27,GM,Germany,A60-A79,7195
2020-03-27,GM,Germany,A80+,1674
2020-03-27,GM,Germany,unbekannt,141
2020-03-27,GM01,Baden-Württemberg State,A00-A04,69
2020-03-27,GM01,Baden-Württemberg State,A05-A14,165
