date,location_name,location,value
2020-04-19,Dolnoslaskie,PL72,30.0
2020-04-19,Kujawsko-Pomorskie,PL73,16.0
2020-04-19,Lubelskie,PL75,10.0
2020-04-19,Lubuskie,PL76,0.0
2020-04-19,Lodzkie,PL74,11.0
2020-04-19,Malopolskie,PL77,16.0
2020-04-19,Mazowieckie,PL78,107.0
2020-04-19,Opolskie,PL79,13.0
2020-04-19,Podkarpackie,PL80,15.0
2020-04-19,Podlaskie,PL81,2.0
2020-04-19,Pomorskie,PL82,2.0
2020-04-19,Slaskie,PL83,69.0
2020-04-19,Swietokrzyskie,PL84,4.0
2020-04-19,Warminsko-Mazurskie,PL85,1.0
2020-04-19,Wielkopolskie,PL86,49.0
2020-04-19,Zachodniopomorskie,PL87,2.0
2020-04-19,Poland,PL,347.0
2020-04-20,Dolnoslaskie,PL72,30.0
2020-04-20,Kujawsko-Pomorskie,PL73,16.0
2020-04-20,Lubelskie,PL75,10.0
2020-04-20,Lubuskie,PL76,0.0
2020-04-20,Lodzkie,PL74,11.0
2020-04-20,Malopolskie,PL77,17.0
2020-04-20,Mazowieckie,PL78,108.0
2020-04-20,Opolskie,PL79,14.0
2020-04-20,Podkarpackie,PL80,16.0
2020-04-20,Podlaskie,PL81,2.0
2020-04-20,Pomorskie,PL82,2.0
2020-04-20,Slaskie,PL83,74.0
2020-04-20,Swietokrzyskie,PL84,4.0
2020-04-20,Warminsko-Mazurskie,PL85,1.0
2020-04-20,Wielkopolskie,PL86,51.0
2020-04-20,Zachodniopomorskie,PL87,4.0
2020-04-20,Poland,PL,360.0
2020-04-21,Dolnoslaskie,PL72,33.0
2020-04-21,Kujawsko-Pomorskie,PL73,17.0
2020-04-21,Lubelskie,PL75,10.0
2020-04-21,Lubuskie,PL76,0.0
2020-04-21,Lodzkie,PL74,11.0
2020-04-21,Malopolskie,PL77,19.0
2020-04-21,Mazowieckie,PL78,116.0
2020-04-21,Opolskie,PL79,14.0
2020-04-21,Podkarpackie,PL80,16.0
2020-04-21,Podlaskie,PL81,2.0
2020-04-21,Pomorskie,PL82,2.0
2020-04-21,Slaskie,PL83,74.0
2020-04-21,Swietokrzyskie,PL84,4.0
2020-04-21,Warminsko-Mazurskie,PL85,1.0
2020-04-21,Wielkopolskie,PL86,57.0
2020-04-21,Zachodniopomorskie,PL87,4.0
2020-04-21,Poland,PL,380.0
2020-04-22,Dolnoslaskie,PL72,33.0
2020-04-22,Kujawsko-Pomorskie,PL73,17.0
2020-04-22,Lubelskie,PL75,10.0
2020-04-22,Lubuskie,PL76,0.0
2020-04-22,Lodzkie,PL74,11.0
2020-04-22,Malopolskie,PL77,20.0
2020-04-22,Mazowieckie,PL78,125.0
2020-04-22,Opolskie,PL79,15.0
2020-04-22,Podkarpackie,PL80,16.0
2020-04-22,Podlaskie,PL81,2.0
2020-04-22,Pomorskie,PL82,2.0
2020-04-22,Slaskie,PL83,79.0
