date,location_name,location,value
2021-09-29,Podkarpackie,PL80,63
2021-09-29,Podlaskie,PL81,52
2021-09-29,Pomorskie,PL82,67
2021-09-29,Slaskie,PL83,47
2021-09-29,Swietokrzyskie,PL84,9
2021-09-29,Warminsko-Mazurskie,PL85,38
2021-09-29,Wielkopolskie,PL86,47
2021-09-29,Zachodniopomorskie,PL87,69
2021-09-30,Poland,PL,1234
2021-09-30,Dolnoslaskie,PL72,73
2021-09-30,Kujawsko-Pomorskie,PL73,38
2021-09-30,Lubelskie,PL75,220
2021-09-30,Lubuskie,PL76,20
2021-09-30,Lodzkie,PL74,77
2021-09-30,Malopolskie,PL77,82
2021-09-30,Mazowieckie,PL78,194
2021-09-30,Opolskie,PL79,14
2021-09-30,Podkarpackie,PL80,67
2021-09-30,Podlaskie,PL81,114
2021-09-30,Pomorskie,PL82,70
2021-09-30,Slaskie,PL83,59
2021-09-30,Swietokrzyskie,PL84,12
2021-09-30,Warminsko-Mazurskie,PL85,48
2021-09-30,Wielkopolskie,PL86,53
2021-09-30,Zachodniopomorskie,PL87,79
2021-10-01,Poland,PL,1208
2021-10-01,Dolnoslaskie,PL72,81
2021-10-01,Kujawsko-Pomorskie,PL73,38
2021-10-01,Lubelskie,PL75,241
2021-10-01,Lubuskie,PL76,17
2021-10-01,Lodzkie,PL74,56
2021-10-01,Malopolskie,PL77,97
2021-10-01,Mazowieckie,PL78,206
2021-10-01,Opolskie,PL79,22
2021-10-01,Podkarpackie,PL80,81
2021-10-01,Podlaskie,PL81,74
2021-10-01,Pomorskie,PL82,47
2021-10-01,Slaskie,PL83,55
2021-10-01,Swietokrzyskie,PL84,21
2021-10-01,Warminsko-Mazurskie,PL85,39
2021-10-01,Wielkopolskie,PL86,50
2021-10-01,Zachodniopomorskie,PL87,74
2021-10-02,Poland,PL,1362
2021-10-02,Dolnoslaskie,PL72,72
2021-10-02,Kujawsko-Pomorskie,PL73,37
2021-10-02,Lubelskie,PL75,274
2021-10-02,Lubuskie,PL76,14
2021-10-02,Lodzkie,PL74,65
2021-10-02,Malopolskie,PL77,94
2021-10-02,Mazowieckie,PL78,230
2021-10-02,Opolskie,PL79,18
2021-10-02,Podkarpackie,PL80,73
2021-10-02,Podlaskie,PL81,105
2021-10-02,Pomorskie,PL82,53
2021-10-02,Slaskie,PL83,67
2021-10-02,Swietokrzyskie,PL84,18
2021-10-02,Warminsko-Mazurskie,PL85,48
2021-10-02,Wielkopolskie,PL86,69
2021-10-02,Zachodniopomorskie,PL87,105
2021-10-03,Poland,PL,1344
2021-10-03,Dolnoslaskie,PL72,68
2021-10-03,Kujawsko-Pomorskie,PL73,63
2021-10-03,Lubelskie,PL75,254
2021-10-03,Lubuskie,PL76,15
2021-10-03,Lodzkie,PL74,59
2021-10-03,Malopolskie,PL77,71
2021-10-03,Mazowieckie,PL78,242
2021-10-03,Opolskie,PL79,15
2021-10-03,Podkarpackie,PL80,57
2021-10-03,Podlaskie,PL81,91
2021-10-03,Pomorskie,PL82,80
2021-10-03,Slaskie,PL83,79
2021-10-03,Swietokrzyskie,PL84,22
2021-10-03,Warminsko-Mazurskie,PL85,61
2021-10-03,Wielkopolskie,PL86,65
2021-10-03,Zachodniopomorskie,PL87,82
2021-10-04,Poland,PL,1090
2021-10-04,Dolnoslaskie,PL72,44
2021-10-04,Kujawsko-Pomorskie,PL73,35
2021-10-04,Lubelskie,PL75,196
2021-10-04,Lubuskie,PL76,18
2021-10-04,Lodzkie,PL74,58
2021-10-04,Malopolskie,PL77,69
2021-10-04,Mazowieckie,PL78,227
2021-10-04,Opolskie,PL79,16
2021-10-04,Podkarpackie,PL80,86
2021-10-04,Podlaskie,PL81,70
2021-10-04,Pomorskie,PL82,41
2021-10-04,Slaskie,PL83,57
2021-10-04,Swietokrzyskie,PL84,14
2021-10-04,Warminsko-Mazurskie,PL85,23
2021-10-04,Wielkopolskie,PL86,43
2021-10-04,Zachodniopomorskie,PL87,73
2021-10-05,Poland,PL,684
2021-10-05,Dolnoslaskie,PL72,32
2021-10-05,Kujawsko-Pomorskie,PL73,22
2021-10-05,Lubelskie,PL75,118
2021-10-05,Lubuskie,PL76,5
2021-10-05,Lodzkie,PL74,24
2021-10-05,Malopolskie,PL77,54
2021-10-05,Mazowieckie,PL78,149
2021-10-05,Opolskie,PL79,8
2021-10-05,Podkarpackie,PL80,30
2021-10-05,Podlaskie,PL81,59
2021-10-05,Pomorskie,PL82,42
2021-10-05,Slaskie,PL83,26
2021-10-05,Swietokrzyskie,PL84,10
2021-10-05,Warminsko-Mazurskie,PL85,19
2021-10-05,Wielkopolskie,PL86,30
2021-10-05,Zachodniopomorskie,PL87,46
2021-10-06,Poland,PL,1325
2021-10-06,Dolnoslaskie,PL72,65
2021-10-06,Kujawsko-Pomorskie,PL73,43
2021-10-06,Lubelskie,PL75,294
2021-10-06,Lubuskie,PL76,14
2021-10-06,Lodzkie,PL74,83
2021-10-06,Malopolskie,PL77,82
